,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
20,"Aroma NB140 Galaxy 50 Hours* Playtime, Deep Bass, Fast Charging True Wireless Earbuds Bluetooth Headset  (White, True Wireless)",3.6,30460,1585,2499.0,496.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
21,"boAt Airdopes 131 with upto 60 hours and ASAP Charge Bluetooth Headset  (Midnight Blue, True Wireless)",4.0,1914777,143324,2990.0,999.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
22,"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ultra Bass Technology, 35.5 Hrs playtime Bluetooth Headset  (Light Grey, True Wireless)",4.2,13090,999,2999.0,2499.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
23,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Playback,Multi Point Connectivity Bluetooth Headset  (Sporty Blue, True Wireless)",4.1,27513,2441,5990.0,1499.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
24,"Brolan NEW Latest True Wireless Ear Noise Cancellation with Waterproof Bluetooth Headset  (White, True Wireless)",3.4,0,0,1649.0,807.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
25,"boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth Headset  (Cool Sapphire, True Wireless)",4.0,974442,65740,2490.0,1099.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
26,"Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Charging True Wireless Earbuds Bluetooth Headset  (Green, True Wireless)",3.7,16274,723,2499.0,496.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
27,"boAt Immortal 150 w/ Beast Mode(40ms Low Latency), 40 HRS Playback & ENx Technology Bluetooth Headset  (Black Sabre, True Wireless)",3.9,9457,780,3499.0,1199.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
28,"boAt Airdopes 200 Plus with 100 HRS Playback, Quad Mics ENx Technology & 13mm Drivers Bluetooth Headset  (Bold Blue, True Wireless)",3.8,20009,1391,5490.0,1299.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
29,"LICHEEN Ear Beats 4 True Wireless Earbuds, Water Resistant, Fast Charging Type C 0A7 Bluetooth Headset  (Black, True Wireless)",3.3,0,0,2999.0,1099.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
