,Name,Rating,Number of ratings,Number of reviews,Actual Price,Discount Price
49,"Frontech - 20 inch HD LED Backlit VA Panel Monitor (MON-0054)  (Adaptive Sync, Response Time: 5 ms, 60 Hz Refresh Rate)",3.8,2400,229,8000.0,3200.0
50,"HP Series 5 27 inch Full HD LED Backlit IPS Panel with On-screen controls, Anti-glare, 300 nits brightness, Eye Ease Technology Monitor (527sf)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.4,0,0,15540.0,13399.0
51,"Acer NITRO 27 inch Full HD IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbuilt Speakers, Acer Display Widget, Acer VisionCare 2.0, Tilt-able stand Gaming Monitor (VG270 M3)  (Frameless, AMD Free Sync, Response Time: 1 ms, 180 Hz Refresh Rate)",4.4,650,85,15999.0,11390.0
52,"Acer 21.5 inch Full HD LED Backlit VA Panel with ZeroFrame Design, Ergonomic Stand, Acer Vision Care, Flicker Free Monitor (EK220Q)  (AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.4,3031,345,7699.0,5199.0
53,"BenQ GW2490 24 inch Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display Port, Bezel-Less, Eyesafe, VESA MediaSync, Brightness Intelligence, Low Blue Light, Speakers 2Wx2, VESA Wall mountable Monitor (GW2490)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.5,471,45,13990.0,8698.0
54,"Acer 21.5 inch Full HD IPS Panel with Blue Light Shield, Low Dimming, Comfy View, Eco Display, 2X1W Inbuilt Speakers, Wall Mountable Ultra Thin Monitor (SA222Q)  (Frameless, AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.4,1023,126,10000.0,6499.0
55,"Frontech Ultima Series 32 inch Full HD LED Backlit VA Panel Monitor (MON-0081)  (Frameless, Response Time: 5 ms, 75 Hz Refresh Rate)",3.4,0,0,29999.0,12069.0
56,"Acer 21.5 inch Full HD LED Backlit IPS Panel with 99% sRGB, HDMI & VGA Ports, Eye Care Monitor (EK220Q)  (AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.3,5462,664,7599.0,5599.0
57,"SAMSUNG 24 inch Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat Monitor (LS24C330GAWXXL)  (AMD Free Sync, Response Time: 4 ms, 100 Hz Refresh Rate)",4.5,41,7,16000.0,8199.0
58,"Frontech - 20 inch HD LED Backlit VA Panel Monitor (MON-0074)  (Adaptive Sync, Response Time: 3 ms, 60 Hz Refresh Rate)",3.7,2950,304,8000.0,3200.0
